+---------------+------------+-----------------+------------------+------------+---------+-------------+-----------------+----------------+----------------+
| election_year | prefecture | prefecture_code | party_normalized | candidates | winners | total_votes | total_districts | seat_share_pct | vote_share_pct |
+---------------+------------+-----------------+------------------+------------+---------+-------------+-----------------+----------------+----------------+
|          2024 | 北海道     | 01              | 立憲民主党       |         12 |       9 |     1116798 |              12 |           75.0 |          46.79 |
|          2024 | 北海道     | 01              | 自由民主党       |         11 |       3 |      903779 |              12 |           25.0 |          37.86 |
|          2024 | 青森       | 02              | 自由民主党       |          3 |       2 |      232897 |               3 |          66.67 |          44.55 |
|          2024 | 青森       | 02              | 立憲民主党       |          2 |       1 |      157804 |               3 |          33.33 |          30.18 |
|          2024 | 岩手       | 03              | 立憲民主党       |          3 |       2 |      280489 |               3 |          66.67 |          51.98 |
|          2024 | 岩手       | 03              | 自由民主党       |          3 |       1 |      243744 |               3 |          33.33 |          45.17 |
|          2024 | 宮城       | 04              | 立憲民主党       |          4 |       4 |      416327 |               5 |           80.0 |          43.14 |
|          2024 | 宮城       | 04              | 自由民主党       |          5 |       1 |      418440 |               5 |           20.0 |          43.36 |
|          2024 | 秋田       | 05              | 立憲民主党       |          3 |       1 |      152453 |               3 |          33.33 |          32.47 |
|          2024 | 秋田       | 05              | 国民民主党       |          1 |       1 |       83001 |               3 |          33.33 |          17.68 |
|          2024 | 秋田       | 05              | 自由民主党       |          3 |       1 |      200309 |               3 |          33.33 |          42.66 |
|          2024 | 山形       | 06              | 自由民主党       |          3 |       3 |      291563 |               3 |          100.0 |           56.1 |
|          2024 | 福島       | 07              | 立憲民主党       |          4 |       3 |      423219 |               4 |           75.0 |          53.02 |
|          2024 | 福島       | 07              | 自由民主党       |          3 |       1 |      262718 |               4 |           25.0 |          32.91 |
|          2024 | 茨城       | 08              | 自由民主党       |          7 |       3 |      563767 |               7 |          42.86 |          46.71 |
|          2024 | 茨城       | 08              | 無所属           |          3 |       2 |      195332 |               7 |          28.57 |          16.19 |
|          2024 | 茨城       | 08              | 立憲民主党       |          2 |       1 |      183707 |               7 |          14.29 |          15.22 |
|          2024 | 茨城       | 08              | 国民民主党       |          1 |       1 |       64351 |               7 |          14.29 |           5.33 |
|          2024 | 栃木       | 09              | 自由民主党       |          5 |       3 |      350991 |               5 |           60.0 |          45.12 |
|          2024 | 栃木       | 09              | 立憲民主党       |          4 |       2 |      258777 |               5 |           40.0 |          33.27 |
|          2024 | 群馬       | 10              | 自由民主党       |          5 |       5 |      412511 |               5 |          100.0 |          54.64 |
|          2024 | 埼玉       | 11              | 自由民主党       |         13 |       8 |     1009682 |              16 |           50.0 |          33.24 |
|          2024 | 埼玉       | 11              | 立憲民主党       |         13 |       6 |     1004230 |              16 |           37.5 |          33.06 |
|          2024 | 埼玉       | 11              | 国民民主党       |          3 |       2 |      184772 |              16 |           12.5 |           6.08 |
|          2024 | 千葉       | 12              | 立憲民主党       |         11 |       7 |      915558 |              14 |           50.0 |          34.53 |
|          2024 | 千葉       | 12              | 自由民主党       |         14 |       7 |     1057556 |              14 |           50.0 |          39.88 |
|          2024 | 東京       | 13              | 立憲民主党       |         21 |      15 |     1737821 |              30 |           50.0 |          27.92 |
|          2024 | 東京       | 13              | 自由民主党       |         24 |      11 |     1796861 |              30 |          36.67 |          28.87 |
|          2024 | 東京       | 13              | 無所属           |         19 |       3 |      608861 |              30 |           10.0 |           9.78 |
|          2024 | 東京       | 13              | 公明党           |          1 |       1 |       60100 |              30 |           3.33 |           0.97 |
|          2024 | 神奈川     | 14              | 立憲民主党       |         18 |      11 |     1442036 |              20 |           55.0 |          35.44 |
|          2024 | 神奈川     | 14              | 自由民主党       |         20 |       9 |     1579624 |              20 |           45.0 |          38.83 |
|          2024 | 新潟       | 15              | 立憲民主党       |          5 |       5 |      536289 |               5 |          100.0 |          51.68 |
|          2024 | 富山       | 16              | 自由民主党       |          3 |       3 |      251338 |               3 |          100.0 |           55.5 |
|          2024 | 石川       | 17              | 自由民主党       |          3 |       2 |      226922 |               3 |          66.67 |          45.82 |
|          2024 | 石川       | 17              | 立憲民主党       |          3 |       1 |      191341 |               3 |          33.33 |          38.63 |
|          2024 | 福井       | 18              | 自由民主党       |          1 |       1 |       86906 |               2 |           50.0 |          25.05 |
|          2024 | 福井       | 18              | 立憲民主党       |          2 |       1 |      124428 |               2 |           50.0 |          35.86 |
|          2024 | 山梨       | 19              | 立憲民主党       |          1 |       1 |      107050 |               2 |           50.0 |          29.09 |
|          2024 | 山梨       | 19              | 自由民主党       |          2 |       1 |      198209 |               2 |           50.0 |          53.86 |
|          2024 | 長野       | 20              | 立憲民主党       |          4 |       3 |      394139 |               5 |           60.0 |          41.95 |
|          2024 | 長野       | 20              | 自由民主党       |          5 |       2 |      396340 |               5 |           40.0 |          42.18 |
|          2024 | 岐阜       | 21              | 自由民主党       |          5 |       4 |      448587 |               5 |           80.0 |          52.28 |
|          2024 | 岐阜       | 21              | 立憲民主党       |          2 |       1 |      173005 |               5 |           20.0 |          20.16 |
|          2024 | 静岡       | 22              | 自由民主党       |          8 |       4 |      787714 |               8 |           50.0 |          48.63 |
|          2024 | 静岡       | 22              | 立憲民主党       |          7 |       3 |      543413 |               8 |           37.5 |          33.55 |
|          2024 | 静岡       | 22              | 国民民主党       |          1 |       1 |       82448 |               8 |           12.5 |           5.09 |
|          2024 | 愛知       | 23              | 立憲民主党       |         12 |       8 |      970815 |              16 |           50.0 |          30.13 |
|          2024 | 愛知       | 23              | 国民民主党       |          4 |       4 |      433596 |              16 |           25.0 |          13.46 |
|          2024 | 愛知       | 23              | 自由民主党       |         15 |       3 |     1064609 |              16 |          18.75 |          33.04 |
|          2024 | 愛知       | 23              | 諸派             |          4 |       1 |      155837 |              16 |           6.25 |           4.84 |
|          2024 | 三重       | 24              | 自由民主党       |          4 |       2 |      347038 |               4 |           50.0 |          43.87 |
|          2024 | 三重       | 24              | 立憲民主党       |          4 |       2 |      346013 |               4 |           50.0 |          43.74 |
|          2024 | 滋賀       | 25              | 自由民主党       |          3 |       2 |      265254 |               3 |          66.67 |           43.3 |
|          2024 | 滋賀       | 25              | 日本維新の会     |          3 |       1 |      201400 |               3 |          33.33 |          32.87 |
|          2024 | 京都       | 26              | 自由民主党       |          6 |       2 |      313831 |               6 |          33.33 |          29.27 |
|          2024 | 京都       | 26              | 立憲民主党       |          4 |       2 |      248952 |               6 |          33.33 |          23.22 |
|          2024 | 京都       | 26              | 日本維新の会     |          5 |       1 |      182723 |               6 |          16.67 |          17.04 |
|          2024 | 京都       | 26              | 無所属           |          4 |       1 |      107749 |               6 |          16.67 |          10.05 |
|          2024 | 大阪       | 27              | 日本維新の会     |         19 |      19 |     1644485 |              19 |          100.0 |          44.39 |
|          2024 | 兵庫       | 28              | 自由民主党       |          9 |       7 |      680302 |              12 |          58.33 |          28.96 |
|          2024 | 兵庫       | 28              | 公明党           |          2 |       2 |      141802 |              12 |          16.67 |           6.04 |
|          2024 | 兵庫       | 28              | 立憲民主党       |          8 |       2 |      505215 |              12 |          16.67 |          21.51 |
|          2024 | 兵庫       | 28              | 無所属           |          4 |       1 |      105253 |              12 |           8.33 |           4.48 |
|          2024 | 奈良       | 29              | 自由民主党       |          3 |       2 |      294147 |               3 |          66.67 |          46.44 |
|          2024 | 奈良       | 29              | 立憲民主党       |          3 |       1 |      159795 |               3 |          33.33 |          25.23 |
|          2024 | 和歌山     | 30              | 自由民主党       |          2 |       1 |      141983 |               2 |           50.0 |          33.28 |
|          2024 | 和歌山     | 30              | 無所属           |          1 |       1 |      101739 |               2 |           50.0 |          23.85 |
|          2024 | 鳥取       | 31              | 自由民主党       |          2 |       2 |      188196 |               2 |          100.0 |          73.18 |
|          2024 | 島根       | 32              | 自由民主党       |          2 |       1 |      163067 |               2 |           50.0 |          52.95 |
|          2024 | 島根       | 32              | 立憲民主党       |          2 |       1 |      122786 |               2 |           50.0 |          39.87 |
|          2024 | 岡山       | 33              | 自由民主党       |          4 |       3 |      371951 |               4 |           75.0 |          49.91 |
|          2024 | 岡山       | 33              | 立憲民主党       |          4 |       1 |      292371 |               4 |           25.0 |          39.23 |
|          2024 | 広島       | 34              | 自由民主党       |          5 |       3 |      433623 |               6 |           50.0 |          40.84 |
|          2024 | 広島       | 34              | 公明党           |          1 |       1 |       86654 |               6 |          16.67 |           8.16 |
|          2024 | 広島       | 34              | 日本維新の会     |          3 |       1 |      142402 |               6 |          16.67 |          13.41 |
|          2024 | 広島       | 34              | 立憲民主党       |          4 |       1 |      253594 |               6 |          16.67 |          23.89 |
|          2024 | 山口       | 35              | 自由民主党       |          3 |       3 |      320216 |               3 |          100.0 |          57.44 |
|          2024 | 徳島       | 36              | 自由民主党       |          2 |       2 |      141216 |               2 |          100.0 |           47.3 |
|          2024 | 香川       | 37              | 自由民主党       |          3 |       1 |      153278 |               3 |          33.33 |          37.41 |
|          2024 | 香川       | 37              | 国民民主党       |          1 |       1 |       89899 |               3 |          33.33 |          21.94 |
|          2024 | 香川       | 37              | 立憲民主党       |          2 |       1 |      112449 |               3 |          33.33 |          27.45 |
|          2024 | 愛媛       | 38              | 自由民主党       |          3 |       2 |      288141 |               3 |          66.67 |          51.42 |
|          2024 | 愛媛       | 38              | 立憲民主党       |          3 |       1 |      184855 |               3 |          33.33 |          32.99 |
|          2024 | 高知       | 39              | 自由民主党       |          2 |       2 |      191611 |               2 |          100.0 |           65.9 |
|          2024 | 福岡       | 40              | 自由民主党       |         10 |       7 |      796881 |              11 |          63.64 |          38.02 |
|          2024 | 福岡       | 40              | 立憲民主党       |          6 |       2 |      422734 |              11 |          18.18 |          20.17 |
|          2024 | 福岡       | 40              | 日本維新の会     |          8 |       1 |      224592 |              11 |           9.09 |          10.71 |
|          2024 | 福岡       | 40              | 無所属           |          7 |       1 |      279105 |              11 |           9.09 |          13.31 |
|          2024 | 佐賀       | 41              | 立憲民主党       |          2 |       2 |      191664 |               2 |          100.0 |          52.85 |
|          2024 | 長崎       | 42              | 自由民主党       |          3 |       2 |      235407 |               3 |          66.67 |          42.56 |
|          2024 | 長崎       | 42              | 国民民主党       |          1 |       1 |       87784 |               3 |          33.33 |          15.87 |
|          2024 | 熊本       | 43              | 自由民主党       |          4 |       4 |      437323 |               4 |          100.0 |          60.97 |
|          2024 | 大分       | 44              | 無所属           |          2 |       2 |      159643 |               3 |          66.67 |          31.75 |
|          2024 | 大分       | 44              | 自由民主党       |          3 |       1 |      185438 |               3 |          33.33 |          36.87 |
|          2024 | 宮崎       | 45              | 自由民主党       |          3 |       2 |      217686 |               3 |          66.67 |          50.43 |
|          2024 | 宮崎       | 45              | 立憲民主党       |          1 |       1 |       79605 |               3 |          33.33 |          18.44 |
|          2024 | 鹿児島     | 46              | 立憲民主党       |          2 |       2 |      183680 |               4 |           50.0 |          26.93 |
|          2024 | 鹿児島     | 46              | 自由民主党       |          4 |       1 |      318182 |               4 |           25.0 |          46.64 |
|          2024 | 鹿児島     | 46              | 無所属           |          1 |       1 |       80397 |               4 |           25.0 |          11.79 |
+---------------+------------+-----------------+------------------+------------+---------+-------------+-----------------+----------------+----------------+
