+---------------+------------+------------+---------------+------------------+-------------------+-------------------+-------------------+--------------------+--------------------+-------------+------------+
| election_year | prefecture |  district  | district_code | first_place_name | first_place_party | first_place_votes | second_place_name | second_place_party | second_place_votes | vote_margin | margin_pct |
+---------------+------------+------------+---------------+------------------+-------------------+-------------------+-------------------+--------------------+--------------------+-------------+------------+
|          2024 | 和歌山     | 和歌山1区  | 30-01         | 山本 大地        | 自由民主党        |             70869 | 林 佑美           | 日本維新の会       |              70745 |         124 |       0.09 |
|          2024 | 愛知       | 愛知10区   | 23-10         | 藤原 規真        | 立憲民主党        |             59691 | 若山 慎司         | 自由民主党         |              59529 |         162 |       0.14 |
|          2024 | 栃木       | 栃木3区    | 09-03         | 簗 和生          | 自由民主党        |             45546 | 渡辺 真太朗       | 無所属             |              45368 |         178 |        0.2 |
|          2024 | 群馬       | 群馬3区    | 10-03         | 笹川 博義        | 自由民主党        |             74930 | 長谷川 嘉一       | 立憲民主党         |              74716 |         214 |       0.14 |
|          2024 | 東京       | 東京28区   | 13-28         | 高松 智之        | 立憲民主党        |             50626 | 安藤 高夫         | 自由民主党         |              50290 |         336 |       0.33 |
|          2024 | 東京       | 東京10区   | 13-10         | 鈴木 隼人        | 自由民主党        |             93490 | 鈴木 庸介         | 立憲民主党         |              92899 |         591 |       0.32 |
|          2024 | 富山       | 富山1区    | 16-01         | 田畑 裕明        | 自由民主党        |             45917 | 山 登志浩         | 立憲民主党         |              45179 |         738 |       0.81 |
|          2024 | 秋田       | 秋田1区    | 05-01         | 冨樫 博之        | 自由民主党        |             60387 | 寺田 学           | 立憲民主党         |              59515 |         872 |       0.73 |
|          2024 | 神奈川     | 神奈川6区  | 14-06         | 青柳 陽一郎      | 立憲民主党        |             80207 | 古川 直季         | 自由民主党         |              79281 |         926 |       0.58 |
|          2024 | 東京       | 東京15区   | 13-15         | 酒井 菜摘        | 立憲民主党        |             66791 | 須藤 元気         | 無所属             |              65666 |        1125 |       0.85 |
|          2024 | 千葉       | 千葉6区    | 12-06         | 安藤 淳子        | 立憲民主党        |             71555 | 渡辺 博道         | 自由民主党         |              70215 |        1340 |       0.95 |
|          2024 | 千葉       | 千葉10区   | 12-10         | 小池 正昭        | 自由民主党        |             69563 | 谷田川 元         | 立憲民主党         |              67920 |        1643 |        1.2 |
|          2024 | 山口       | 山口2区    | 35-02         | 岸 信千世        | 自由民主党        |            104885 | 平岡 秀夫         | 立憲民主党         |             103161 |        1724 |       0.83 |
|          2024 | 沖縄       | 沖縄3区    | 47-03         | 島尻 安伊子      | 自由民主党        |             73226 | 屋良 朝博         | 立憲民主党         |              71457 |        1769 |       1.22 |
|          2024 | 東京       | 東京1区    | 13-01         | 海江田 万里      | 立憲民主党        |             56979 | 山田 美樹         | 自由民主党         |              55040 |        1939 |       1.73 |
|          2024 | 広島       | 広島4区    | 34-04         | 空本 誠喜        | 日本維新の会      |             93707 | 寺田 稔           | 自由民主党         |              91653 |        2054 |       1.11 |
|          2024 | 東京       | 東京18区   | 13-18         | 福田 かおる      | 自由民主党        |             99002 | 松下 玲子         | 立憲民主党         |              96820 |        2182 |       1.11 |
|          2024 | 福岡       | 福岡11区   | 40-11         | 村上 智信        | 日本維新の会      |             58842 | 武田 良太         | 自由民主党         |              56607 |        2235 |       1.94 |
|          2024 | 北海道     | 北海道10区 | 01-10         | 神谷 裕          | 立憲民主党        |             78362 | 稲津 久           | 公明党             |              75990 |        2372 |       1.54 |
|          2024 | 東京       | 東京19区   | 13-19         | 末松 義規        | 立憲民主党        |             76899 | 松本 洋平         | 自由民主党         |              74435 |        2464 |       1.63 |
|          2024 | 静岡       | 静岡4区    | 22-04         | 田中 健          | 国民民主党        |             82448 | 深沢 陽一         | 自由民主党         |              79801 |        2647 |       1.63 |
|          2024 | 埼玉       | 埼玉16区   | 11-16         | 土屋 品子        | 自由民主党        |             66909 | 三角 創太         | 立憲民主党         |              64244 |        2665 |       2.03 |
|          2024 | 鹿児島     | 鹿児島1区  | 46-01         | 川内 博史        | 立憲民主党        |             80918 | 宮路 拓馬         | 自由民主党         |              78221 |        2697 |       1.69 |
|          2024 | 愛知       | 愛知16区   | 23-16         | 福田 徹          | 国民民主党        |             65923 | 犬飼 明佳         | 公明党             |              63095 |        2828 |       2.19 |
|          2024 | 東京       | 東京22区   | 13-22         | 山花 郁夫        | 立憲民主党        |             99790 | 伊藤 達也         | 自由民主党         |              96748 |        3042 |       1.55 |
|          2024 | 千葉       | 千葉3区    | 12-03         | 松野 博一        | 自由民主党        |             67308 | 岡島 一正         | 立憲民主党         |              64169 |        3139 |       2.39 |
|          2024 | 埼玉       | 埼玉1区    | 11-01         | 村井 英樹        | 自由民主党        |             85347 | 武正 公一         | 立憲民主党         |              82134 |        3213 |       1.92 |
|          2024 | 千葉       | 千葉13区   | 12-13         | 松本 尚          | 自由民主党        |             96024 | 宮川 伸           | 立憲民主党         |              92501 |        3523 |       1.87 |
|          2024 | 岡山       | 岡山2区    | 33-02         | 山下 貴司        | 自由民主党        |             95452 | 津村 啓介         | 立憲民主党         |              91906 |        3546 |       1.89 |
|          2024 | 徳島       | 徳島2区    | 36-02         | 山口 俊一        | 自由民主党        |             55830 | 飯泉 嘉門         | 無所属             |              52151 |        3679 |       3.41 |
|          2024 | 滋賀       | 滋賀1区    | 25-01         | 斎藤 アレックス  | 日本維新の会      |             74126 | 大岡 敏孝         | 自由民主党         |              70033 |        4093 |       2.84 |
|          2024 | 静岡       | 静岡6区    | 22-06         | 渡辺 周          | 立憲民主党        |            104222 | 勝俣 孝明         | 自由民主党         |             100088 |        4134 |       2.02 |
|          2024 | 神奈川     | 神奈川17区 | 14-17         | 牧島 かれん      | 自由民主党        |            115235 | 佐々木 奈保美     | 立憲民主党         |             111061 |        4174 |       1.84 |
|          2024 | 埼玉       | 埼玉9区    | 11-09         | 杉村 慎治        | 立憲民主党        |             83107 | 大塚 拓           | 自由民主党         |              78811 |        4296 |       2.65 |
|          2024 | 大阪       | 大阪19区   | 27-19         | 伊東 信久        | 日本維新の会      |             65726 | 谷川 とむ         | 自由民主党         |              60879 |        4847 |       3.83 |
|          2024 | 青森       | 青森1区    | 02-01         | 津島 淳          | 自由民主党        |             76265 | 升田 世喜男       | 立憲民主党         |              71211 |        5054 |       3.43 |
